,Title,Price,Location,Link
0,Private room for rent,1000,"Waterloo, ON",https://www.facebook.com/marketplace/item/1673305166909450/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669861834825616%22%2C%22mf_story_key%22%3A%228223461114430076%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8223461114430076%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.3614132608521%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228223461114430076%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
1,3 Beds 2.5 Baths - Townhouse,600,"Kitchener, ON",https://www.facebook.com/marketplace/item/1279149273213597/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669861834825616%22%2C%22mf_story_key%22%3A%228424907400951700%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8424907400951700%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.36145532891686%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228424907400951700%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
2,Private room for rent,820,"Waterloo, ON",https://www.facebook.com/marketplace/item/771254684974021/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669861834825616%22%2C%22mf_story_key%22%3A%228985691888114795%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8985691888114795%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.36204599148753%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228985691888114795%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
3,Private basemen  room for one female,745,"Waterloo, ON",https://www.facebook.com/marketplace/item/1956039328165786/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669861834825616%22%2C%22mf_story_key%22%3A%228088657594578119%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8088657594578119%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.36261409221734%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228088657594578119%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
4,Private room for rent,550,"Waterloo, ON",https://www.facebook.com/marketplace/item/2303661469973003/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669861834825616%22%2C%22mf_story_key%22%3A%228608517279263772%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8608517279263772%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.36288303145946%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228608517279263772%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
5,1 Bed 1.5 Baths - House,433,"Waterloo, ON",https://www.facebook.com/marketplace/item/495482653430302/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669105958936117%22%2C%22mf_story_key%22%3A%228433717716639415%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8433717716639415%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.39395463555901%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228433717716639415%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
6,1 Bed 1 Bath - Apartment,750,"Waterloo, ON",https://www.facebook.com/marketplace/item/1370169737110324/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669861834825616%22%2C%22mf_story_key%22%3A%229067809129927534%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A9067809129927534%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.36311949715821%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%229067809129927534%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
7,3 Beds 2 Baths - Townhouse,600,"Waterloo, ON",https://www.facebook.com/marketplace/item/531196196456929/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669861834825616%22%2C%22mf_story_key%22%3A%228625611834200055%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8625611834200055%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.36331274886095%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228625611834200055%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
8,Private room for rent,600,"Kitchener, ON",https://www.facebook.com/marketplace/item/557642746874786/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669861834825616%22%2C%22mf_story_key%22%3A%2227409978715313666%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A27409978715313666%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.36374788516142%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2227409978715313666%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
9,3 Beds 2 Baths House,699,"Waterloo, ON",https://www.facebook.com/marketplace/item/8740414482709244/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-871669105958936117%22%2C%22mf_story_key%22%3A%228240943696016409%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8240943696016409%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A-1%2C%5C%22ranking_signature%5C%22%3A0%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A-0.39321744814639%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228240943696016409%5C%22%3A204%7D%7D%22%7D&__tn__=!%3AD
